
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101012U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

197.733;   61.850;  516.000;  404.000
197.879;  -76.375; -610.000; -634.000
198.025;  -36.800; -475.000; -420.000
198.171;  -68.825; -602.000; -612.000
198.317;  -14.000; -401.000; -316.000
198.463;  -60.400; -655.000; -404.000
198.609;   35.125;  181.000; -137.000
198.755;  -71.425; -644.000; -410.000
198.901;  -68.525; -505.000; -424.000
199.047;  -62.475; -615.000; -488.000
199.193;  -24.575; -230.000; -468.000
199.339;  -49.725; -222.000; -369.000
199.485;   50.025;  330.000;  271.000
199.631;    9.025;  227.000;  310.000
199.777;  -30.525; -466.000; -398.000
199.923;  -69.650; -610.000; -424.000
200.069;   -0.675; -141.000;  -58.000
200.215;   55.100;  128.000;  453.000
200.361;   51.575;  243.000;  477.000
200.507;  -56.600; -600.000; -373.000
200.653;  -20.925; -371.000; -194.000
200.798;  -31.900; -215.000; -125.000
200.944;    7.225; -146.000;  -41.000
201.090;   38.075;   61.000;  222.000
201.236;   -1.625; -116.000; -158.000
201.382;  131.725;  874.000;  903.000
201.528;    4.800;  -58.000;  -48.000
201.674;  -57.000; -386.000; -293.000
201.819;  -41.075; -540.000; -439.000
201.965;  -72.625; -699.000; -447.000
202.111;  -24.400; -273.000; -226.000
202.257;  -42.350; -250.000; -238.000
202.402;    7.525;   13.000;  -36.000
202.548;  -13.850; -169.000; -116.000
202.694;  103.725;  410.000; -183.000
202.840;  -72.700; -603.000; -531.000
202.985;  -52.075; -681.000; -639.000
203.131;  -99.725; -832.000; -666.000
203.277;  -21.025; -199.000; -262.000
203.423;  -48.575; -434.000; -520.000
203.568;  -36.650; -462.000; -237.000
203.714;  -61.575; -535.000; -542.000
203.860;  -70.600; -682.000; -641.000
204.005;   12.875;  112.000;  167.000
204.151;   87.400;  561.000;  556.000
204.296;  -41.700; -354.000; -221.000
204.442;  -51.450; -600.000; -547.000
204.588;  -71.050; -592.000; -579.000
204.733;   29.900;  178.000;  168.000
204.879; -110.975;-1018.000; -822.000
205.025;   10.575;  -99.000;  126.000
205.170;   -3.525;  -17.000;   94.000
