
Integration time [ms]: 200.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101013U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

394.013;  138.220; -450.257; -315.536
394.305;  435.816; -461.258; -419.536
394.596; 1799.348; -676.269; -527.514
394.887; 4214.275; -796.268; -654.518
395.178; 1691.825;  145.736;   11.476
395.470;  162.443; -210.263; -356.526
395.761;  471.699;  305.734;  394.479
396.052;  673.844; -545.284; -306.489
396.343;  684.858; -557.276; -454.503
396.634;  246.907; -200.279; -290.497
396.926;  231.171; -618.268; -565.517
397.217;  255.465;   11.725;  -17.504
397.508;  114.191; -366.273; -154.507
397.799;   96.907; -555.279; -571.497
398.090;  -13.503; -973.280; -902.495
398.381;  235.421;   11.708;  -11.473
398.672;   -9.277; -585.292; -742.473
398.963;  125.816; -348.279; -373.498
399.254;  221.038;   54.709; -209.475
399.545;  -89.306;-1017.266; -883.520
399.836;  148.540; -407.277; -343.501
400.127;  137.282; -205.295; -209.468
400.418;  132.582; -423.274; -392.506
400.709;  158.676; -359.281; -333.493
401.000;  169.544; -268.291; -309.476
401.290;  220.479;  225.698;  115.545
401.581;  157.215; -166.286; -228.485
401.872;   43.737; -542.298; -486.462
402.163;  118.770; -313.296; -252.467
402.454;  206.739; -123.291; -163.475
402.744;  122.556; -844.297; -813.465
403.035;  751.607; -226.293;  -86.471
403.326;  988.728; -366.292; -384.474
403.617;  691.728;  204.701;  165.539
403.907;  430.153; -593.283; -679.490
404.198; 3846.104; -545.307; -599.446
404.489; 9828.061; -618.283; -588.491
404.779; 3620.584; -618.302; -660.456
405.070;  459.450;  -67.304; -174.451
405.360;  611.510; -259.293; -238.472
405.651;  667.303;  125.699;   98.542
405.942;  388.308;  209.714;  127.516
406.232;  565.431; -432.285; -413.487
406.523;  965.498;  641.706;  758.530
406.813;  179.111; -579.286; -644.484
407.104;  758.619;  261.708;  144.527
407.394;  403.330; -604.299; -591.462
407.685;  320.630;  336.715;  222.513
407.975;   94.559; -400.283; -382.490
408.265;  232.562; -134.289; -190.478
408.556;  146.634; -472.291; -459.475
408.846;  345.000;  474.706;  429.530
409.137;  198.876;   -1.288; -216.480
