
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101012U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

197.733;   53.875;  516.000;  404.000
197.879;  -72.800; -610.000; -634.000
198.025;  -46.325; -475.000; -420.000
198.171;  -79.275; -602.000; -612.000
198.317;  -15.600; -401.000; -316.000
198.463;  -53.075; -655.000; -404.000
198.609;   25.150;  181.000; -137.000
198.755;  -83.600; -644.000; -410.000
198.901;  -74.600; -505.000; -424.000
199.047;  -46.400; -615.000; -488.000
199.193;  -39.550; -230.000; -468.000
199.339;  -43.325; -222.000; -369.000
199.485;   28.400;  330.000;  271.000
199.631;   30.900;  227.000;  310.000
199.777;  -35.550; -466.000; -398.000
199.923;  -63.375; -610.000; -424.000
200.069;    0.550; -141.000;  -58.000
200.215;   52.600;  128.000;  453.000
200.361;   49.150;  243.000;  477.000
200.507;  -65.275; -600.000; -373.000
200.653;  -19.950; -371.000; -194.000
200.798;  -36.175; -215.000; -125.000
200.944;  -12.075; -146.000;  -41.000
201.090;   32.450;   61.000;  222.000
201.236;    5.525; -116.000; -158.000
201.382;  133.000;  874.000;  903.000
201.528;   15.250;  -58.000;  -48.000
201.674;  -34.650; -386.000; -293.000
201.819;  -59.575; -540.000; -439.000
201.965;  -83.250; -699.000; -447.000
202.111;  -17.575; -273.000; -226.000
202.257;  -28.350; -250.000; -238.000
202.402;   -2.450;   13.000;  -36.000
202.548;  -28.825; -169.000; -116.000
202.694;   83.400;  410.000; -183.000
202.840;  -76.200; -603.000; -531.000
202.985;  -72.825; -681.000; -639.000
203.131; -105.225; -832.000; -666.000
203.277;  -23.800; -199.000; -262.000
203.423;  -48.350; -434.000; -520.000
203.568;  -38.675; -462.000; -237.000
203.714;  -56.725; -535.000; -542.000
203.860;  -78.650; -682.000; -641.000
204.005;   12.725;  112.000;  167.000
204.151;   69.400;  561.000;  556.000
204.296;  -39.450; -354.000; -221.000
204.442;  -73.650; -600.000; -547.000
204.588;  -78.825; -592.000; -579.000
204.733;   24.850;  178.000;  168.000
204.879; -125.675;-1018.000; -822.000
205.025;    7.975;  -99.000;  126.000
205.170;   -7.600;  -17.000;   94.000
