
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101013U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

394.013;   69.738; -450.257; -315.536
394.305;  263.811; -461.258; -419.536
394.596; 1057.235; -676.269; -527.514
394.887; 2473.676; -796.268; -654.518
395.178;  963.781;  145.736;   11.476
395.470;  105.142; -210.263; -356.526
395.761;  244.191;  305.734;  394.479
396.052;  446.212; -545.284; -306.489
396.343;  447.880; -557.276; -454.503
396.634;  173.550; -200.279; -290.497
396.926;  176.499; -618.268; -565.517
397.217;  163.960;   11.725;  -17.504
397.508;   78.350; -366.273; -154.507
397.799;   90.225; -555.279; -571.497
398.090;   24.869; -973.280; -902.495
398.381;  156.838;   11.708;  -11.473
398.672;   11.389; -585.292; -742.473
398.963;   86.031; -348.279; -373.498
399.254;  143.623;   54.709; -209.475
399.545;   -2.913;-1017.266; -883.520
399.836;   94.120; -407.277; -343.501
400.127;   75.890; -205.295; -209.468
400.418;   90.170; -423.274; -392.506
400.709;  108.807; -359.281; -333.493
401.000;   69.702; -268.291; -309.476
401.290;  118.253;  225.698;  115.545
401.581;   88.670; -166.286; -228.485
401.872;   32.863; -542.298; -486.462
402.163;   63.008; -313.296; -252.467
402.454;  118.324; -123.291; -163.475
402.744;  125.899; -844.297; -813.465
403.035;  571.880; -226.293;  -86.471
403.326;  742.592; -366.292; -384.474
403.617;  459.832;  204.701;  165.539
403.907;  255.468; -593.283; -679.490
404.198; 2225.658; -545.307; -599.446
404.489; 5831.772; -618.283; -588.491
404.779; 2092.281; -618.302; -660.456
405.070;  251.760;  -67.304; -174.451
405.360;  348.607; -259.293; -238.472
405.651;  371.042;  125.699;   98.542
405.942;  217.940;  209.714;  127.516
406.232;  403.030; -432.285; -413.487
406.523;  631.950;  641.706;  758.530
406.813;  139.592; -579.286; -644.484
407.104;  444.587;  261.708;  144.527
407.394;  250.558; -604.299; -591.462
407.685;  180.254;  336.715;  222.513
407.975;   75.621; -400.283; -382.490
408.265;  137.463; -134.289; -190.478
408.556;   73.246; -472.291; -459.475
408.846;  184.351;  474.706;  429.530
409.137;   88.296;   -1.288; -216.480
409.427;   66.729; -193.285; -271.487
