
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101012U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

197.733;   46.225;  516.000;  404.000
197.879;  -76.225; -610.000; -634.000
198.025;  -62.850; -475.000; -420.000
198.171;  -82.175; -602.000; -612.000
198.317;  -37.475; -401.000; -316.000
198.463;  -61.550; -655.000; -404.000
198.609;   40.125;  181.000; -137.000
198.755;  -80.050; -644.000; -410.000
198.901;  -76.600; -505.000; -424.000
199.047;  -64.750; -615.000; -488.000
199.193;  -44.775; -230.000; -468.000
199.339;  -38.250; -222.000; -369.000
199.485;   34.850;  330.000;  271.000
199.631;    8.950;  227.000;  310.000
199.777;  -38.300; -466.000; -398.000
199.923;  -75.250; -610.000; -424.000
200.069;   -2.075; -141.000;  -58.000
200.215;   51.425;  128.000;  453.000
200.361;   41.425;  243.000;  477.000
200.507;  -70.125; -600.000; -373.000
200.653;  -34.450; -371.000; -194.000
200.798;  -32.125; -215.000; -125.000
200.944;   -2.050; -146.000;  -41.000
201.090;   36.000;   61.000;  222.000
201.236;   -9.900; -116.000; -158.000
201.382;  124.125;  874.000;  903.000
201.528;    5.400;  -58.000;  -48.000
201.674;  -60.825; -386.000; -293.000
201.819;  -67.500; -540.000; -439.000
201.965;  -93.400; -699.000; -447.000
202.111;  -17.950; -273.000; -226.000
202.257;  -40.250; -250.000; -238.000
202.402;   10.575;   13.000;  -36.000
202.548;  -26.175; -169.000; -116.000
202.694;   80.800;  410.000; -183.000
202.840;  -77.550; -603.000; -531.000
202.985;  -71.150; -681.000; -639.000
203.131; -100.575; -832.000; -666.000
203.277;  -20.775; -199.000; -262.000
203.423;  -49.600; -434.000; -520.000
203.568;  -33.675; -462.000; -237.000
203.714;  -67.875; -535.000; -542.000
203.860;  -97.225; -682.000; -641.000
204.005;   15.275;  112.000;  167.000
204.151;   87.925;  561.000;  556.000
204.296;  -48.025; -354.000; -221.000
204.442;  -75.625; -600.000; -547.000
204.588;  -63.800; -592.000; -579.000
204.733;   11.150;  178.000;  168.000
204.879; -139.450;-1018.000; -822.000
205.025;   12.225;  -99.000;  126.000
205.170;   14.025;  -17.000;   94.000
