
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101013U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

394.013;   44.509; -450.257; -315.536
394.305;  203.832; -461.258; -419.536
394.596; 1057.603; -676.269; -527.514
394.887; 2704.770; -796.268; -654.518
395.178; 1040.076;  145.736;   11.476
395.470;   81.562; -210.263; -356.526
395.761;  211.760;  305.734;  394.479
396.052;  269.077; -545.284; -306.489
396.343;  279.623; -557.276; -454.503
396.634;  108.516; -200.279; -290.497
396.926;  127.292; -618.268; -565.517
397.217;  122.377;   11.725;  -17.504
397.508;   58.018; -366.273; -154.507
397.799;   46.066; -555.279; -571.497
398.090;   -4.165; -973.280; -902.495
398.381;  117.302;   11.708;  -11.473
398.672;   -4.172; -585.292; -742.473
398.963;   46.822; -348.279; -373.498
399.254;  105.237;   54.709; -209.475
399.545;  -23.918;-1017.266; -883.520
399.836;   50.437; -407.277; -343.501
400.127;   57.253; -205.295; -209.468
400.418;   58.813; -423.274; -392.506
400.709;   63.073; -359.281; -333.493
401.000;   49.966; -268.291; -309.476
401.290;  117.714;  225.698;  115.545
401.581;   61.535; -166.286; -228.485
401.872;   23.150; -542.298; -486.462
402.163;   47.821; -313.296; -252.467
402.454;   89.788; -123.291; -163.475
402.744;   84.812; -844.297; -813.465
403.035;  421.568; -226.293;  -86.471
403.326;  584.106; -366.292; -384.474
403.617;  383.294;  204.701;  165.539
403.907;  249.858; -593.283; -679.490
404.198; 2409.093; -545.307; -599.446
404.489; 6261.413; -618.283; -588.491
404.779; 2120.818; -618.302; -660.456
405.070;  239.296;  -67.304; -174.451
405.360;  344.670; -259.293; -238.472
405.651;  382.929;  125.699;   98.542
405.942;  196.130;  209.714;  127.516
406.232;  272.445; -432.285; -413.487
406.523;  488.988;  641.706;  758.530
406.813;  103.832; -579.286; -644.484
407.104;  358.576;  261.708;  144.527
407.394;  180.146; -604.299; -591.462
407.685;  156.519;  336.715;  222.513
407.975;   61.712; -400.283; -382.490
408.265;  114.327; -134.289; -190.478
408.556;   65.485; -472.291; -459.475
408.846;  169.839;  474.706;  429.530
409.137;   72.911;   -1.288; -216.480
