
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101012U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

197.733;   74.200;  516.000;  404.000
197.879;  -83.525; -610.000; -634.000
198.025;  -39.825; -475.000; -420.000
198.171;  -79.150; -602.000; -612.000
198.317;  -42.425; -401.000; -316.000
198.463;  -52.275; -655.000; -404.000
198.609;   36.700;  181.000; -137.000
198.755;  -73.100; -644.000; -410.000
198.901;  -79.600; -505.000; -424.000
199.047;  -61.425; -615.000; -488.000
199.193;  -33.825; -230.000; -468.000
199.339;  -57.350; -222.000; -369.000
199.485;   50.200;  330.000;  271.000
199.631;   11.200;  227.000;  310.000
199.777;  -45.325; -466.000; -398.000
199.923;  -67.950; -610.000; -424.000
200.069;    8.050; -141.000;  -58.000
200.215;   67.200;  128.000;  453.000
200.361;   56.625;  243.000;  477.000
200.507;  -80.875; -600.000; -373.000
200.653;   -1.575; -371.000; -194.000
200.798;  -38.150; -215.000; -125.000
200.944;    2.725; -146.000;  -41.000
201.090;   31.700;   61.000;  222.000
201.236;   10.350; -116.000; -158.000
201.382;  115.300;  874.000;  903.000
201.528;   18.275;  -58.000;  -48.000
201.674;  -41.600; -386.000; -293.000
201.819;  -56.775; -540.000; -439.000
201.965;  -80.425; -699.000; -447.000
202.111;  -14.550; -273.000; -226.000
202.257;  -42.575; -250.000; -238.000
202.402;   18.050;   13.000;  -36.000
202.548;  -26.550; -169.000; -116.000
202.694;   92.450;  410.000; -183.000
202.840;  -62.775; -603.000; -531.000
202.985;  -60.300; -681.000; -639.000
203.131;  -96.600; -832.000; -666.000
203.277;  -13.225; -199.000; -262.000
203.423;  -50.825; -434.000; -520.000
203.568;  -28.600; -462.000; -237.000
203.714;  -61.625; -535.000; -542.000
203.860;  -76.650; -682.000; -641.000
204.005;    0.775;  112.000;  167.000
204.151;   85.025;  561.000;  556.000
204.296;  -43.825; -354.000; -221.000
204.442;  -72.775; -600.000; -547.000
204.588;  -68.675; -592.000; -579.000
204.733;   39.100;  178.000;  168.000
204.879; -127.900;-1018.000; -822.000
205.025;   27.550;  -99.000;  126.000
205.170;    3.150;  -17.000;   94.000
