
Integration time [ms]: 100.000
Averaging Nr. [scans]: 40
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2101013U2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

394.013;   69.025; -450.257; -315.536
394.305;  245.723; -461.258; -419.536
394.596; 1039.846; -676.269; -527.514
394.887; 2564.913; -796.268; -654.518
395.178;  988.718;  145.736;   11.476
395.470;   86.479; -210.263; -356.526
395.761;  215.728;  305.734;  394.479
396.052;  359.623; -545.284; -306.489
396.343;  355.117; -557.276; -454.503
396.634;  139.336; -200.279; -290.497
396.926;  144.935; -618.268; -565.517
397.217;  127.471;   11.725;  -17.504
397.508;   69.562; -366.273; -154.507
397.799;   73.511; -555.279; -571.497
398.090;   12.180; -973.280; -902.495
398.381;  108.999;   11.708;  -11.473
398.672;  -10.075; -585.292; -742.473
398.963;   76.242; -348.279; -373.498
399.254;  121.334;   54.709; -209.475
399.545;  -18.426;-1017.266; -883.520
399.836;   79.506; -407.277; -343.501
400.127;   74.350; -205.295; -209.468
400.418;   67.456; -423.274; -392.506
400.709;   71.493; -359.281; -333.493
401.000;   45.988; -268.291; -309.476
401.290;  108.588;  225.698;  115.545
401.581;   83.256; -166.286; -228.485
401.872;   35.473; -542.298; -486.462
402.163;   48.118; -313.296; -252.467
402.454;  103.835; -123.291; -163.475
402.744;   88.309; -844.297; -813.465
403.035;  519.465; -226.293;  -86.471
403.326;  672.578; -366.292; -384.474
403.617;  410.392;  204.701;  165.539
403.907;  244.104; -593.283; -679.490
404.198; 2275.493; -545.307; -599.446
404.489; 6043.183; -618.283; -588.491
404.779; 2104.766; -618.302; -660.456
405.070;  236.570;  -67.304; -174.451
405.360;  340.592; -259.293; -238.472
405.651;  371.702;  125.699;   98.542
405.942;  213.226;  209.714;  127.516
406.232;  313.016; -432.285; -413.487
406.523;  572.435;  641.706;  758.530
406.813;  113.353; -579.286; -644.484
407.104;  403.773;  261.708;  144.527
407.394;  209.494; -604.299; -591.462
407.685;  164.690;  336.715;  222.513
407.975;   58.982; -400.283; -382.490
408.265;  125.624; -134.289; -190.478
408.556;   84.782; -472.291; -459.475
408.846;  178.161;  474.706;  429.530
409.137;  103.257;   -1.288; -216.480
409.427;   62.590; -193.285; -271.487
