,element,sp_num,ritz_wl_air(nm),intens
0,B,2,200.5868,200.0
56,B,2,222.0295,220.0
61,B,2,232.303,245.0
70,B,2,239.5044,520.0
77,B,2,245.9909,480.0
81,B,1,249.772263,210.0
142,B,2,332.3598,780.0
156,B,2,345.130358,7400.0
186,B,2,378.849,190.0
215,N,1,410.99487,185.0
232,Ar,1,415.85907,400.0
241,B,2,419.4792,180.0
277,B,2,447.2862,470.0
321,N,1,491.494,160.0
325,B,2,494.0365,440.0
471,N,1,575.2499,700.0
623,N,1,644.0938,235.0
629,N,1,648.1706,265.0
630,N,1,648.2699,360.0
631,N,1,648.3753,300.0
632,N,1,648.4808,325.0
726,Ar,1,696.543,10000.0
741,Ar,1,714.7041,1000.0
760,Ar,1,727.29354,2000.0
787,N,1,742.3641,685.0
794,N,1,744.2298,785.0
798,N,1,746.8312,900.0
802,Ar,1,750.3868,20000.0
805,Ar,1,751.46512,15000.0
813,Ar,1,763.51054,25000.0
849,Ar,1,811.53109,35000.0
858,N,1,820.0357,250.0
866,N,1,821.6336,570.0
882,N,1,856.7735,500.0
886,N,1,862.9235,650.0
896,Ar,1,866.7943,4500.0
