element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
B,1,"=""""","=""7242.1""","=""0.8""","=""""","=""7.01e+05""",C+,"=""7.747215""","=""7.918415""","=""2s2.5d""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7242.1""","=""0.8""","=""""","=""7.53e+05""",C+,"=""7.747215""","=""7.918415""","=""2s2.5d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""u27""","=""""",
B,1,"=""""","=""7242.1""","=""0.8""","=""""","=""5.01e+04""",C+,"=""7.747215""","=""7.918415""","=""2s2.5d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7341.8""","=""0.9""","=""""","=""1.65e+05""",C,"=""7.915811""","=""8.084685""","=""2s2.6d""","=""2D""","=""3/2""","=""2s2.8f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7341.8""","=""0.9""","=""""","=""1.76e+05""",C,"=""7.915811""","=""8.084685""","=""2s2.6d""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""7/2""",,"=""u27""","=""""",
B,1,"=""""","=""7341.8""","=""0.9""","=""""","=""1.18e+04""",C,"=""7.915811""","=""8.084685""","=""2s2.6d""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7513.4""","=""0.9""","=""""","=""1.50e+04""",C,"=""7.918415""","=""8.083434""","=""2s2.6f""","=""2F*""","=""7/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7513.4""","=""0.9""","=""""","=""1.56e+04""",C,"=""7.918415""","=""8.083434""","=""2s2.6f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""7513.4""","=""0.9""","=""""","=""7.5e+02""",D,"=""7.918415""","=""8.083434""","=""2s2.6f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7525.8""","=""0.9""","=""""","=""2.08e+03""",C,"=""7.7510655""","=""7.915811""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""7525.8""","=""0.9""","=""""","=""4.39e+04""",C,"=""7.7510655""","=""7.915811""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""7525.8""","=""0.9""","=""""","=""4.2e+04""",C,"=""7.7510655""","=""7.915811""","=""2s2.5f""","=""2F*""","=""7/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,2,"=""""","=""9853""","=""6""","=""""","=""1.3e+05""",D,"=""22.76583""","=""22.89166""","=""1s2.2s.5p""","=""3P*""","=""0""","=""1s2.2s.5d""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""9853""","=""4""","=""""","=""1.7e+05""",D,"=""22.76583""","=""22.89166""","=""1s2.2s.5p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""""","=""9853""","=""5""","=""""","=""9.2e+04""",D,"=""22.76583""","=""22.89166""","=""1s2.2s.5p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""9853""","=""3""","=""""","=""2.3e+05""",D,"=""22.76583""","=""22.89166""","=""1s2.2s.5p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",,"=""u27,LS""","=""""",
