element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""5000.60""","=""""","=""1.88e+05""",C,"=""13.017878""","=""13.2658173""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5009.74""","=""""","=""2.93e+05""",C,"=""13.016403""","=""13.2638891""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5026.770""","=""""","=""1.35e+04""",D+,"=""12.9966572""","=""13.2433051""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5031.49""","=""""","=""3.64e+05""",C,"=""13.019401""","=""13.2658173""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5039.79""","=""""","=""2.87e+05""",C,"=""13.017878""","=""13.2638891""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5115.80""","=""""","=""2.99e+04""",D+,"=""13.000950""","=""13.2433051""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5119.733""","=""""","=""2.13e+03""",D+,"=""12.9966572""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5212.11""","=""""","=""2.16e+04""",D+,"=""13.000950""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5265.93""","=""""","=""6.53e+03""",D+,"=""13.000950""","=""13.2363957""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5280.578""","=""""","=""2.34e+03""",B,"=""12.1219574""","=""12.3567502""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",,"=""T5714n""","=""""",
N,1,"=""""","=""5284.75""","=""""","=""1.62e+04""",D+,"=""13.004219""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5339.675""","=""""","=""1.24e+04""",C,"=""13.6936867""","=""13.9258810""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5340.08""","=""""","=""3.13e+04""",D+,"=""13.004219""","=""13.2363957""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5369.618""","=""""","=""6.88e+05""",D+,"=""12.9706652""","=""13.2015647""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5376.10""","=""""","=""1.42e+04""",C,"=""13.019401""","=""13.2500220""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5381.923""","=""""","=""4.92e+02""",B,"=""12.1263787""","=""12.3567502""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",,"=""T5714n""","=""""",
N,1,"=""""","=""5383.328""","=""""","=""2.57e+03""",B,"=""12.1263787""","=""12.3566901""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",,"=""T5714n""","=""""",
N,1,"=""""","=""5402.383""","=""""","=""8.43e+04""",C,"=""13.0205230""","=""13.2500220""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5406.688""","=""""","=""1.08e+05""",C,"=""13.6965647""","=""13.9258810""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5414.258""","=""""","=""1.19e+05""",C,"=""13.6936867""","=""13.9226824""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5483.148""","=""""","=""3.23e+05""",D+,"=""12.9754460""","=""13.2015647""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5499.98""","=""""","=""2.17e+04""",C,"=""13.017878""","=""13.2433051""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5502.545""","=""""","=""5.52e+05""",D+,"=""13.6426905""","=""13.8680121""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5537.38""","=""""","=""5.23e+04""",C,"=""13.019401""","=""13.2433051""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5550.083""","=""""","=""6.45e+05""",D+,"=""13.6511356""","=""13.8745272""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5565.267""","=""""","=""1.71e+04""",C,"=""13.0205230""","=""13.2433051""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5574.24""","=""""","=""2.24e+04""",C,"=""13.016403""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5611.46""","=""""","=""3.51e+04""",C,"=""13.017878""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5635.8""","=""""","=""4.33e+04""",C,"=""13.016403""","=""13.2363957""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
