element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""""","=""5187.95""","=""""","=""6.96e+03""",D,"=""28.829685""","=""29.0686699""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172""","=""""",
O,2,"=""""","=""5201.95""","=""""","=""5.37e+03""",D,"=""28.823901""","=""29.0622429""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172""","=""""",
O,2,"=""""","=""5214.74""","=""""","=""1.06e+03""",B,"=""28.591928""","=""28.829685""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""T6172""","=""""",
O,2,"=""""","=""5331.32""","=""""","=""1.54e+03""",D,"=""28.829685""","=""29.0622429""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172""","=""""",
O,2,"=""""","=""5344.76""","=""""","=""9.86e+02""",B,"=""28.591928""","=""28.823901""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",,"=""T6172""","=""""",
O,1,"=""""","=""5455.728""","=""""","=""1.58e+04""",C+,"=""12.5391924""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""4""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5455.728""","=""""","=""1.76e+03""",C+,"=""12.5391924""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5455.728""","=""""","=""6.97e+01""",C,"=""12.5391924""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5492.040""","=""""","=""2.42e+03""",C+,"=""12.5406949""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5492.040""","=""""","=""1.38e+04""",C+,"=""12.5406949""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5515.960""","=""""","=""1.29e+04""",C+,"=""12.5416739""","=""12.7664475""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""5972.98""","=""""","=""3.84e+05""",A,"=""12.0786187""","=""12.2861939""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""2s2.2p3.(4S*).4p""","=""5P""","=""3""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5973.28""","=""""","=""9.95e+04""",A,"=""12.0786294""","=""12.2861939""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).4p""","=""5P""","=""3""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5973.72""","=""""","=""1.42e+04""",A,"=""12.0786446""","=""12.2861939""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""3""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5977.55""","=""""","=""2.78e+05""",A,"=""12.0786294""","=""12.2860456""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5977.99""","=""""","=""1.74e+05""",A,"=""12.0786446""","=""12.2860456""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5978.36""","=""""","=""4.47e+04""",A,"=""12.0786574""","=""12.2860456""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5980.40""","=""""","=""1.74e+05""",A,"=""12.0786446""","=""12.2859622""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""1""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5980.77""","=""""","=""2.23e+05""",A,"=""12.0786574""","=""12.2859622""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""2s2.2p3.(4S*).4p""","=""5P""","=""1""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""5980.94""","=""""","=""9.92e+04""",A,"=""12.0786635""","=""12.2859622""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""","=""2s2.2p3.(4S*).4p""","=""5P""","=""1""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""6230.13""","=""""","=""1.71e+01""",C,"=""12.0870382""","=""12.2860456""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",,"=""T5803""","=""""",
O,2,"=""""","=""8063.7""","=""""","=""2.14e+03""",C+,"=""26.2254001""","=""26.379157""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",,"=""T6172n""","=""""",
O,2,"=""""","=""9330.9""","=""""","=""1.40e+02""",C+,"=""26.2254001""","=""26.358274""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s.2p4""","=""2P""","=""3/2""",,"=""T6172n""","=""""",
O,2,"=""""","=""9397.2""","=""""","=""4.69e+02""",D,"=""28.823901""","=""28.955839""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T6172""","=""""",
O,2,"=""""","=""9828.0""","=""""","=""2.02e+02""",D,"=""28.829685""","=""28.955839""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T6172""","=""""",
O,1,"=""""","=""10397.57""","=""""","=""3.64e+05""",C+,"=""12.7590265""","=""12.8782699""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""2s2.2p3.(4S*).5p""","=""3P""","=""0""",,"=""T5713LS""","=""""",
O,1,"=""""","=""10399.40""","=""""","=""3.06e+05""",C+,"=""12.7590123""","=""12.8782347""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).5p""","=""3P""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""10399.50""","=""""","=""2.73e+05""",C+,"=""12.7590208""","=""12.8782422""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).5p""","=""3P""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""10399.99""","=""""","=""9.09e+04""",C+,"=""12.7590265""","=""12.8782422""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""2s2.2p3.(4S*).5p""","=""3P""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""10400.15""","=""""","=""5.46e+04""",C+,"=""12.7590208""","=""12.8782347""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).5p""","=""3P""","=""2""",,"=""T5713LS""","=""""",
O,2,"=""""","=""10525.3""","=""""","=""1.27e+02""",D,"=""28.823901""","=""28.941697""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""""",
O,2,"=""""","=""11068.8""","=""""","=""3.13e+02""",D,"=""28.829685""","=""28.941697""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""""",
